"RT","SERIALNO","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","CITWP","COW","ENG","FER","GCL","GCM","GCR","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","VPS","WAOB","Class"
"P","2023HU0012307",1,1,605,1,25,1019518,96,1,NA,2,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,60,1,1,2,1,2,2,1,2,2019,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,21,0,1,0,0,90000,50,52,1,NA,2,26,51,NA,1,NA,1,5301,NA,1,1,7860,112,61,NA,NA,NA,1,1,NA,0,1006,NA,90000,90000,25,501,600,25,1,2,1,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023HU1389835",1,2,805,1,25,1019518,114,1,NA,2,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,25,NA,9,2,1,2,2,1,2,2021,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,22,0,1,0,0,41000,40,52,1,NA,2,87,97,NA,NA,NA,1,5200,6002,1,1,7870,106,62,NA,NA,NA,1,1,NA,0,5000,NA,41000,41000,6,384,800,25,1,2,1,1,1000,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,NA,1,"No"
"P","2023HU0467616",1,2,802,1,25,1019518,74,1,NA,1,NA,NA,NA,NA,NA,0,1,2,2,2,2,2,2,0,45,NA,10,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,22,0,1,0,0,90000,40,52,1,NA,4,999,999,NA,NA,NA,1,6201,NA,1,1,7280,91,43,NA,800,25,6,1,NA,0,800,NA,90000,90000,25,501,800,25,1,2,4,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023HU1064400",1,1,1004,1,25,1019518,55,1,NA,NA,NA,NA,2,NA,NA,0,1,2,1,1,2,2,2,500,NA,NA,NA,2,1,2,2,1,2,1973,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,8900,1,NA,19,0,2,0,14600,0,NA,NA,2,NA,1,935,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,4,0,24000,25,395,NA,NA,1,1,2,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0723945",1,4,602,1,25,1019518,98,1,NA,NA,1,2,NA,NA,NA,0,1,2,2,2,2,2,2,0,NA,NA,NA,1,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,12000,0,0,2,15,19,0,2,0,0,0,NA,NA,NA,NA,4,999,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,1170,NA,NA,6,1,NA,0,NA,4,0,12000,24,280,NA,NA,1,2,2,2,3000,2,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU1397823",1,2,1102,1,25,1019518,129,1,NA,2,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,15,2,1,2,1,2,2,1,2,2007,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,20,0,1,0,0,45000,40,52,1,NA,4,999,999,NA,2,NA,1,NA,NA,1,1,9170,91,49,NA,NA,NA,1,1,NA,0,420,NA,45000,45000,25,483,1100,25,1,2,2,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0074671",1,2,806,1,25,1019518,75,5,NA,1,3,2,2,NA,NA,2,2,1,2,2,2,2,2,0,30,NA,3,1,1,2,2,1,2,2017,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,2,0,2,0,0,30000,30,52,1,2021,1,252,999,8,NA,NA,1,NA,NA,1,11,770,160,97,1200,NA,NA,1,2,NA,0,6260,2,30000,30000,312,307,800,25,1,2,4,8,8000,15,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,3,"No"
"P","2023HU0730419",1,2,501,1,25,1019518,61,1,NA,1,NA,2,2,NA,NA,0,1,2,2,2,2,2,2,0,NA,NA,11,2,1,2,1,1,2,2023,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,21,0,2,0,0,102000,40,52,1,NA,2,50,51,NA,NA,NA,1,2602,NA,1,1,6890,NA,NA,NA,NA,NA,1,1,NA,0,710,4,102000,102000,25,501,500,25,1,2,4,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023HU0122556",1,1,802,1,25,1019518,41,1,NA,1,NA,2,2,NA,NA,0,1,2,2,2,2,2,2,0,30,NA,10,2,1,2,2,1,2,2018,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,22,0,2,0,0,85000,45,52,1,NA,2,22,87,NA,NA,NA,1,6203,2602,1,1,7390,100,55,NA,NA,NA,1,1,NA,0,51,4,85000,85000,13,501,800,25,1,2,3,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023HU0452445",1,5,1003,1,25,1019518,41,1,NA,NA,NA,NA,1,NA,2,0,1,2,1,1,2,1,2,0,NA,NA,NA,2,1,2,2,1,2,1978,1,2,0,0,1,0,0,0,0,0,2,5,2,2,3,12800,0,40000,1,NA,16,0,1,0,24500,0,NA,NA,2,NA,1,22,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,0,77300,25,501,NA,NA,1,1,4,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,1,1,12,1,"No"
