"SPORDER","PUMA","PWGTP","CIT","COW","ENG","FER","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MIG","NWAB","NWLA","NWLK","SCH","SCHL","SEX","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MSP","NATIVITY","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","WAOB","Class"
1,"1301",201,"1","2","0","0","2","0","1","2","2","2","0",0,"11","2","5","0","0","0","0","1","3","3","3","1","22","1","2","3","5","1","4","999","999","0","0","1","9160","0","0","6","1","-1","2040","0","4","4","25","3","1290","25","1","2","1","1","1000","1","0","0","1","0","1","-1","2","2","1","No"
1,"604",16,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","2","2","2","2","2","3","3","3","3","1","16","2","0","0","0","0","3","996","999","0","0","6","0","0","0","3","1","-1","0","0","0","4","25","0","0","0","2","1","2","1","1000","1","0","0","1","0","1","-1","0","0","1","Yes"
3,"1004",58,"1","1","0","2","0","0","1","2","2","2","1",1,"1","2","5","0","0","0","0","1","3","3","3","1","20","2","2","2","5","1","2","26","84","0","1","1","7980","49","0","6","1","0","3310","4","4","4","25","6","1000","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"601",263,"5","1","1","0","2","0","1","2","2","2","3",1,"1","1","1","2","2","1","2","1","3","3","3","1","22","1","4","2","5","1","1","615","999","7","1","1","6970","55","1730","1","2","0","1021","0","5","6","210","6","900","25","1","2","2","6","4015","4","1","0","1","0","0","0","1","2","4","No"
1,"601",60,"1","0","0","0","2","0","1","2","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","21","2","0","0","0","2","2","142","50","0","0","6","0","0","0","1","1","0","0","4","0","5","25","6","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"403",333,"1","1","0","0","2","0","1","2","2","2","1",1,"1","2","3","1","2","1","2","1","3","3","3","1","16","1","3","3","5","1","1","22","999","0","1","1","5680","37","0","4","1","0","9130","0","5","5","37","4","400","25","1","2","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"1201",162,"1","2","0","0","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","2","2","2","5","1","1","87","999","0","1","1","9170","49","0","1","1","0","51","4","4","4","34","6","1290","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"608",88,"1","1","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","22","1","5","3","5","1","4","999","999","0","0","1","3380","0","0","1","1","0","51","0","5","6","25","6","600","25","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"801",62,"5","2","0","2","2","0","1","2","2","2","3",0,"2","2","5","0","0","0","0","1","3","3","3","1","24","2","3","2","5","1","1","144","999","8","0","1","7460","67","0","6","2","0","1760","4","5","5","132","4","600","25","1","2","1","1","1000","1","0","0","1","0","1","0","1","2","5","No"
1,"403",44,"1","0","0","0","2","2","1","1","1","2","0",0,"0","2","2","2","2","1","1","1","2","2","2","1","16","2","0","0","0","2","1","939","999","0","0","6","0","0","0","3","1","0","0","4","0","4","25","3","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"201",223,"1","1","0","2","2","0","1","2","2","2","0",0,"11","2","1","2","1","1","2","3","3","3","3","1","21","2","3","3","5","1","2","50","935","0","0","1","6871","0","0","1","1","0","4820","4","5","5","25","6","290","25","1","2","3","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"802",99,"2","2","1","0","2","0","1","2","2","2","2",3,"1","1","1","2","2","1","2","1","3","3","3","1","24","2","3","2","5","1","2","291","84","5","3","1","8191","55","1200","1","1","0","1650","2","5","5","72","6","800","25","1","2","2","9","9000","62","0","1","3","1","1","0","1","2","2","No"
1,"501",102,"4","1","1","0","2","0","2","2","2","2","0",0,"11","1","1","2","1","2","2","1","3","1","1","1","17","1","2","3","5","1","1","360","999","6","0","1","7690","0","1210","1","2","0","4200","0","4","4","362","2","500","25","2","2","4","9","9000","29","0","0","2","1","1","0","0","0","3","No"
1,"905",51,"1","1","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","21","1","0","0","0","2","2","50","935","0","0","6","7460","0","0","1","1","0","120","0","0","5","25","3","0","0","1","1","3","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"100",103,"1","2","0","0","2","0","2","2","1","1","0",0,"0","2","5","0","0","0","0","1","2","2","1","1","17","1","1","1","1","2","1","51","999","0","0","3","8370","0","0","6","1","0","4220","0","3","4","25","1","0","0","2","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","Yes"
2,"507",55,"1","7","0","0","2","0","1","2","2","2","1",1,"1","2","1","2","2","1","2","1","3","3","3","1","23","2","3","3","5","1","2","142","148","0","1","1","7480","61","0","1","1","0","3250","4","5","5","9","6","500","25","1","2","1","1","1000","1","0","0","1","0","1","0","1","2","1","No"
3,"704",54,"1","0","0","2","0","0","1","2","2","2","0",0,"0","2","5","0","0","0","0","1","0","0","0","2","12","2","0","0","0","0","1","51","999","0","0","0","0","0","0","6","1","1","0","0","0","0","25","3","0","0","1","2","2","1","1000","1","0","0","1","0","1","1","0","0","1","No"
3,"1004",142,"1","0","0","2","0","0","2","2","2","1","0",0,"0","2","5","0","0","0","0","1","0","0","0","3","11","2","0","0","0","0","2","261","22","0","0","0","0","0","0","6","1","1","0","0","0","0","33","1","0","0","2","1","4","9","9000","29","0","0","2","1","1","1","0","0","1","Yes"
1,"905",211,"1","2","0","2","2","0","2","2","2","1","0",0,"0","2","5","0","0","0","0","1","2","2","2","1","20","2","0","0","0","2","1","902","999","0","0","6","8090","0","0","6","1","0","5740","2","0","3","25","1","0","0","2","1","2","2","3000","2","0","1","1","0","0","0","0","0","1","No"
1,"802",165,"2","0","3","0","2","0","2","2","1","1","0",0,"0","1","5","0","0","0","0","1","2","2","2","1","3","1","0","0","0","2","1","261","999","7","0","6","0","0","1200","6","1","0","0","0","0","4","72","1","0","0","2","1","1","9","9000","62","0","1","3","1","1","0","0","0","2","No"
